stationId,name,owner,lon,lat,shd_id,timebase,area_c,area_n,StationTarget,action_monitor_1,units_monitor_1
443,Jordan-Beit Zera,Ayyeka,35.5683,32.6905,31195,15,14,Valleys,None,TRUE,M³/sec
293,Yavniel,None,35.544019,32.696649,32180,60,14,Valleys,None,TRUE,M³/sec
294,Yarmuh,None,35.636043,32.684778,34160,60,16,Golan-Kinneret,None,TRUE,M³/sec
312,Jorden gesher,Ayyeka,35.56434388,32.62478643,34190,15,14,Valleys,None,TRUE,M³/sec
314,Issachar,Ayyeka,35.564639,32.55208,36150,15,14,Valleys,None,TRUE,M³/sec
57,Harod,None,35.5204,32.5063,38175,60,14,Valleys,None,TRUE,M³/sec
316,Jordan Kasr El Jahud new,Ayyeka,35.54674857,31.83700295,46105,15,13,Jordan Valley,None,TRUE,M³/sec
349,Zeelim,Ayyeka,35.350325,31.352178,48141,5,12,Dead Sea,None,TRUE,M³/sec
346,Arugot,Ayyeka,35.389727,31.458289,48156,5,12,Dead Sea,None,TRUE,M³/sec
348,Rahaf,Ayyeka,35.374811,31.295715,48185,5,12,Dead Sea,None,TRUE,M³/sec
378,Ashalim,Ayyeka,35.33009,31.06586,48197,2,12,Dead Sea,None,TRUE,M³/sec
382,Zin90,Ayyeka,35.29806,30.94588,55193,5,11,Craters - Northern Arava,None,TRUE,M³/sec
58,Ramon,None,34.8601,30.6144,56140,15,11,Craters - Northern Arava,None,TRUE,M³/sec
295,Hayun,None,35.010493,30.186179,58150,15,9,Eilat Mt,None,TRUE,M³/sec
296,Ketzev,None,35.023667,30.153769,58175,60,9,Eilat Mt,None,TRUE,M³/sec
326,Kinet,Ayyeka,34.985432,29.592149,60175,60,10,Hayon Faran,None,TRUE,M³/sec
